Time,Z
2003-03-03T16:08:50.000,-1.2995794459
2003-03-03T16:08:55.000,-1.2964673771
2003-03-03T16:09:00.000,-1.2933154175
2003-03-03T16:09:05.000,-1.2901236622
2003-03-03T16:09:10.000,-1.2868922076
2003-03-03T16:09:15.000,-1.2836211512
2003-03-03T16:09:20.000,-1.2803105917
2003-03-03T16:09:25.000,-1.276960629
2003-03-03T16:09:30.000,-1.2735713644
2003-03-03T16:09:35.000,-1.2701429002
2003-03-03T16:09:40.000,-1.26667534
2003-03-03T16:09:45.000,-1.2631687886
2003-03-03T16:09:50.000,-1.259623352
2003-03-03T16:09:55.000,-1.2560391374
2003-03-03T16:10:00.000,-1.2524162533
2003-03-03T16:10:05.000,-1.2487548091
2003-03-03T16:10:10.000,-1.2450549158
2003-03-03T16:10:15.000,-1.2413166853
2003-03-03T16:10:20.000,-1.2375402307
2003-03-03T16:10:25.000,-1.2337256664
2003-03-03T16:10:30.000,-1.2298731079
2003-03-03T16:10:35.000,-1.225982672
2003-03-03T16:10:40.000,-1.2220544764
2003-03-03T16:10:45.000,-1.2180886402
2003-03-03T16:10:50.000,-1.2140852837
2003-03-03T16:10:55.000,-1.2100445281
2003-03-03T16:11:00.000,-1.205966496
2003-03-03T16:11:05.000,-1.2018513112
2003-03-03T16:11:10.000,-1.1976990983
2003-03-03T16:11:15.000,-1.1935099834
2003-03-03T16:11:20.000,-1.1892840936
2003-03-03T16:11:25.000,-1.1850215572
2003-03-03T16:11:30.000,-1.1807225036
2003-03-03T16:11:35.000,-1.1763870632
2003-03-03T16:11:40.000,-1.1720153677
2003-03-03T16:11:45.000,-1.16760755
2003-03-03T16:11:50.000,-1.1631637439
2003-03-03T16:11:55.000,-1.1586840844
2003-03-03T16:12:00.000,-1.1541687078
2003-03-03T16:12:05.000,-1.1496177511
2003-03-03T16:12:10.000,-1.1450313528
2003-03-03T16:12:15.000,-1.1404096522
2003-03-03T16:12:20.000,-1.1357527901
2003-03-03T16:12:25.000,-1.1310609079
2003-03-03T16:12:30.000,-1.1263341484
2003-03-03T16:12:35.000,-1.1215726555
2003-03-03T16:12:40.000,-1.116776574
2003-03-03T16:12:45.000,-1.1119460498
2003-03-03T16:12:50.000,-1.1070812301
2003-03-03T16:12:55.000,-1.1021822629
2003-03-03T16:13:00.000,-1.0972492975
2003-03-03T16:13:05.000,-1.0922824839
2003-03-03T16:13:10.000,-1.0872819736
2003-03-03T16:13:15.000,-1.0822479188
2003-03-03T16:13:20.000,-1.077180473
2003-03-03T16:13:25.000,-1.0720797905
2003-03-03T16:13:30.000,-1.0669460268
2003-03-03T16:13:35.000,-1.0617793384
